Eval:::Epoch [156/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [157/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [158/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [159/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [160/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [161/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [162/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [163/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [164/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [165/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [166/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [167/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [168/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [169/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [170/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [171/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [172/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [173/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [174/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [175/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [176/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [177/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [178/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [179/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [180/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [181/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [182/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [183/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [184/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [185/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [186/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [187/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [188/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [189/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [190/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [191/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [192/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [193/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [194/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [195/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [196/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [197/500], Loss: 0.0005, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [198/500], Loss: 0.0007, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [199/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [200/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9325
Eval:::Epoch [201/500], Loss: 0.0004, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [202/500], Loss: 0.0004, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [203/500], Loss: 0.0004, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [204/500], Loss: 0.0004, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [205/500], Loss: 0.0004, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [206/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [207/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [208/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [209/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [210/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [211/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [212/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [213/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [214/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [215/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [216/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [217/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [218/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [219/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [220/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [221/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [222/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [223/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [224/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [225/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [226/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [227/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [228/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [229/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [230/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [231/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [232/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [233/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [234/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [235/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [236/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [237/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [238/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [239/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [240/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [241/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [242/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [243/500], Loss: 0.0002, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [244/500], Loss: 0.0016, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [245/500], Loss: 0.0058, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [246/500], Loss: 0.0052, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [247/500], Loss: 0.0050, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
Eval:::Epoch [248/500], Loss: 0.0048, Dev Accuracy: 0.9417, Dev F1 Score: 0.9355
