Test:::Loss: 0.2330, Dev Accuracy: 0.9329, Dev F1 Score: 0.9176
Eval:::Epoch [176/500], Loss: 0.1222, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [177/500], Loss: 0.1219, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [178/500], Loss: 0.1216, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [179/500], Loss: 0.1212, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [180/500], Loss: 0.1210, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [181/500], Loss: 0.1207, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [182/500], Loss: 0.1204, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [183/500], Loss: 0.1200, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [184/500], Loss: 0.1198, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [185/500], Loss: 0.1194, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [186/500], Loss: 0.1192, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [187/500], Loss: 0.1189, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [188/500], Loss: 0.1186, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [189/500], Loss: 0.1184, Dev Accuracy: 0.9242, Dev F1 Score: 0.9167
Eval:::Epoch [190/500], Loss: 0.1181, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [191/500], Loss: 0.1178, Dev Accuracy: 0.9242, Dev F1 Score: 0.9167
Eval:::Epoch [192/500], Loss: 0.1176, Dev Accuracy: 0.9242, Dev F1 Score: 0.9167
Eval:::Epoch [193/500], Loss: 0.1173, Dev Accuracy: 0.9242, Dev F1 Score: 0.9167
Eval:::Epoch [194/500], Loss: 0.1169, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [195/500], Loss: 0.1167, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [196/500], Loss: 0.1166, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [197/500], Loss: 0.1163, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [198/500], Loss: 0.1160, Dev Accuracy: 0.9242, Dev F1 Score: 0.9167
Eval:::Epoch [199/500], Loss: 0.1155, Dev Accuracy: 0.9242, Dev F1 Score: 0.9167
